"maille_code";"sexe";"date";"hospitalises";"reanimation";"gueris";"deces"
"01";"0";"2021-02-04";242;15;1892;462
"02";"0";"2021-02-04";341;31;2463;700
"03";"0";"2021-02-04";239;15;1345;427
"04";"0";"2021-02-04";167;3;659;160
"05";"0";"2021-02-04";133;7;728;178
"06";"0";"2021-02-04";716;86;3471;857
"07";"0";"2021-02-04";220;10;1337;371
"08";"0";"2021-02-04";119;10;759;267
"09";"0";"2021-02-04";72;9;184;45
"10";"0";"2021-02-04";67;9;1264;286
"11";"0";"2021-02-04";187;11;636;199
"12";"0";"2021-02-04";94;3;580;146
"13";"0";"2021-02-04";1500;247;12850;2263
"14";"0";"2021-02-04";194;36;1363;322
"15";"0";"2021-02-04";75;6;366;81
"16";"0";"2021-02-04";34;3;309;82
"17";"0";"2021-02-04";191;21;545;159
"18";"0";"2021-02-04";153;11;949;372
"19";"0";"2021-02-04";75;11;479;118
"21";"0";"2021-02-04";286;28;2553;704
"22";"0";"2021-02-04";38;1;631;123
"23";"0";"2021-02-04";67;8;345;60
"24";"0";"2021-02-04";143;19;385;82
"25";"0";"2021-02-04";175;45;1583;377
"26";"0";"2021-02-04";239;31;1863;523
"27";"0";"2021-02-04";131;13;1032;292
"28";"0";"2021-02-04";203;20;1532;315
"29";"0";"2021-02-04";134;5;663;172
"2A";"0";"2021-02-04";11;0;309;79
"2B";"0";"2021-02-04";42;8;259;47
"30";"0";"2021-02-04";249;38;1650;394
"31";"0";"2021-02-04";421;74;3053;504
"32";"0";"2021-02-04";91;2;234;69
"33";"0";"2021-02-04";442;76;3236;661
"34";"0";"2021-02-04";240;52;2751;567
"35";"0";"2021-02-04";368;20;1716;408
"36";"0";"2021-02-04";92;6;589;183
"37";"0";"2021-02-04";161;34;1108;290
"38";"0";"2021-02-04";660;57;4823;1231
"39";"0";"2021-02-04";212;6;1313;367
"40";"0";"2021-02-04";114;13;580;175
"41";"0";"2021-02-04";169;10;821;209
"42";"0";"2021-02-04";418;48;3710;945
"43";"0";"2021-02-04";124;6;888;190
"44";"0";"2021-02-04";280;29;2223;518
"45";"0";"2021-02-04";346;59;1737;337
"46";"0";"2021-02-04";33;1;208;55
"47";"0";"2021-02-04";50;3;501;109
"48";"0";"2021-02-04";31;2;268;87
"49";"0";"2021-02-04";288;38;2017;499
"50";"0";"2021-02-04";199;12;739;198
"51";"0";"2021-02-04";335;27;2253;646
"52";"0";"2021-02-04";105;12;803;250
"53";"0";"2021-02-04";89;11;841;208
"54";"0";"2021-02-04";368;49;2987;858
"55";"0";"2021-02-04";77;6;970;278
"56";"0";"2021-02-04";172;11;1136;261
"57";"0";"2021-02-04";494;73;4922;1646
"58";"0";"2021-02-04";171;3;467;165
"59";"0";"2021-02-04";963;137;9791;2294
"60";"0";"2021-02-04";519;35;2596;831
"61";"0";"2021-02-04";161;10;943;231
"62";"0";"2021-02-04";523;69;4598;1097
"63";"0";"2021-02-04";310;28;1594;477
"64";"0";"2021-02-04";187;23;1514;381
"65";"0";"2021-02-04";43;6;738;157
"66";"0";"2021-02-04";157;21;752;181
"67";"0";"2021-02-04";603;79;4930;1262
"68";"0";"2021-02-04";473;47;4769;1240
"69";"0";"2021-02-04";862;146;10243;2225
"70";"0";"2021-02-04";107;11;784;178
"71";"0";"2021-02-04";489;33;3037;813
"72";"0";"2021-02-04";258;12;1658;385
"73";"0";"2021-02-04";124;15;2061;548
"74";"0";"2021-02-04";260;24;3467;754
"75";"0";"2021-02-04";855;185;12326;2944
"76";"0";"2021-02-04";674;55;3433;913
"77";"0";"2021-02-04";422;88;5501;1336
"78";"0";"2021-02-04";672;65;5249;1242
"79";"0";"2021-02-04";104;11;562;180
"80";"0";"2021-02-04";274;26;1721;545
"81";"0";"2021-02-04";167;26;777;225
"82";"0";"2021-02-04";68;14;498;117
"83";"0";"2021-02-04";572;63;3240;737
"84";"0";"2021-02-04";304;15;2227;584
"85";"0";"2021-02-04";128;10;890;166
"86";"0";"2021-02-04";59;12;676;162
"87";"0";"2021-02-04";82;14;697;209
"88";"0";"2021-02-04";194;10;1828;619
"89";"0";"2021-02-04";194;15;1335;343
"90";"0";"2021-02-04";122;13;1414;484
"91";"0";"2021-02-04";743;67;5610;1212
"92";"0";"2021-02-04";929;112;9130;1822
"93";"0";"2021-02-04";782;91;8270;1653
"94";"0";"2021-02-04";638;74;8883;2058
"95";"0";"2021-02-04";446;45;5570;1324
"971";"0";"2021-02-04";50;4;800;171
"972";"0";"2021-02-04";21;4;385;45
"973";"0";"2021-02-04";35;12;2156;75
"974";"0";"2021-02-04";24;1;799;56
"976";"0";"2021-02-04";81;12;614;48
